0/41256 (epoch 0), train_loss = 5.322, time/batch = 2.011
88/41256 (epoch 0), train_loss = 2.053, time/batch = 0.781
89/41256 (epoch 0), train_loss = 2.051, time/batch = 0.777
90/41256 (epoch 0), train_loss = 2.048, time/batch = 0.780
91/41256 (epoch 0), train_loss = 2.040, time/batch = 0.778
92/41256 (epoch 0), train_loss = 2.073, time/batch = 0.783
93/41256 (epoch 0), train_loss = 2.049, time/batch = 0.779
94/41256 (epoch 0), train_loss = 2.055, time/batch = 0.778
95/41256 (epoch 0), train_loss = 2.028, time/batch = 0.780
96/41256 (epoch 0), train_loss = 2.053, time/batch = 0.789
97/41256 (epoch 0), train_loss = 2.092, time/batch = 0.779
98/41256 (epoch 0), train_loss = 1.987, time/batch = 0.781
99/41256 (epoch 0), train_loss = 1.998, time/batch = 0.782
100/41256 (epoch 0), train_loss = 2.059, time/batch = 0.784
101/41256 (epoch 0), train_loss = 2.057, time/batch = 0.778
102/41256 (epoch 0), train_loss = 1.964, time/batch = 0.782
103/41256 (epoch 0), train_loss = 2.041, time/batch = 0.782
104/41256 (epoch 0), train_loss = 2.045, time/batch = 0.780
105/41256 (epoch 0), train_loss = 1.980, time/batch = 0.778
106/41256 (epoch 0), train_loss = 1.982, time/batch = 0.784
107/41256 (epoch 0), train_loss = 2.050, time/batch = 0.785
108/41256 (epoch 0), train_loss = 2.049, time/batch = 0.783
109/41256 (epoch 0), train_loss = 1.913, time/batch = 0.778
110/41256 (epoch 0), train_loss = 2.014, time/batch = 0.782
111/41256 (epoch 0), train_loss = 2.016, time/batch = 0.782
112/41256 (epoch 0), train_loss = 1.994, time/batch = 0.782
113/41256 (epoch 0), train_loss = 1.983, time/batch = 0.781
114/41256 (epoch 0), train_loss = 1.980, time/batch = 0.781
115/41256 (epoch 0), train_loss = 2.008, time/batch = 0.784
116/41256 (epoch 0), train_loss = 1.974, time/batch = 0.783
117/41256 (epoch 0), train_loss = 1.979, time/batch = 0.784
118/41256 (epoch 0), train_loss = 2.020, time/batch = 0.799
119/41256 (epoch 0), train_loss = 1.980, time/batch = 0.801
120/41256 (epoch 0), train_loss = 1.969, time/batch = 0.796
121/41256 (epoch 0), train_loss = 1.968, time/batch = 0.796
122/41256 (epoch 0), train_loss = 1.974, time/batch = 0.801
123/41256 (epoch 0), train_loss = 1.993, time/batch = 0.798
124/41256 (epoch 0), train_loss = 1.959, time/batch = 0.803
125/41256 (epoch 0), train_loss = 1.965, time/batch = 0.800
126/41256 (epoch 0), train_loss = 1.942, time/batch = 0.798
127/41256 (epoch 0), train_loss = 1.927, time/batch = 0.800
128/41256 (epoch 0), train_loss = 1.951, time/batch = 0.797
129/41256 (epoch 0), train_loss = 1.914, time/batch = 0.801
130/41256 (epoch 0), train_loss = 1.924, time/batch = 0.798
131/41256 (epoch 0), train_loss = 1.863, time/batch = 0.799
132/41256 (epoch 0), train_loss = 1.861, time/batch = 0.807
133/41256 (epoch 0), train_loss = 1.882, time/batch = 0.800
134/41256 (epoch 0), train_loss = 1.845, time/batch = 0.797
135/41256 (epoch 0), train_loss = 1.848, time/batch = 0.799
136/41256 (epoch 0), train_loss = 1.860, time/batch = 0.798
137/41256 (epoch 0), train_loss = 1.818, time/batch = 0.801
138/41256 (epoch 0), train_loss = 1.861, time/batch = 0.804
139/41256 (epoch 0), train_loss = 1.835, time/batch = 0.799
140/41256 (epoch 0), train_loss = 1.782, time/batch = 0.796
141/41256 (epoch 0), train_loss = 1.829, time/batch = 0.819
142/41256 (epoch 0), train_loss = 1.846, time/batch = 0.801
143/41256 (epoch 0), train_loss = 1.785, time/batch = 0.804
144/41256 (epoch 0), train_loss = 1.796, time/batch = 0.799
145/41256 (epoch 0), train_loss = 1.795, time/batch = 0.799
146/41256 (epoch 0), train_loss = 1.756, time/batch = 0.800
147/41256 (epoch 0), train_loss = 1.719, time/batch = 0.804
148/41256 (epoch 0), train_loss = 1.798, time/batch = 0.798
149/41256 (epoch 0), train_loss = 1.804, time/batch = 0.794
150/41256 (epoch 0), train_loss = 1.777, time/batch = 0.803
151/41256 (epoch 0), train_loss = 1.880, time/batch = 0.802
152/41256 (epoch 0), train_loss = 1.750, time/batch = 0.807
153/41256 (epoch 0), train_loss = 1.734, time/batch = 0.810
154/41256 (epoch 0), train_loss = 1.762, time/batch = 0.831
155/41256 (epoch 0), train_loss = 1.738, time/batch = 0.832
156/41256 (epoch 0), train_loss = 1.751, time/batch = 0.829
157/41256 (epoch 0), train_loss = 1.713, time/batch = 0.832
158/41256 (epoch 0), train_loss = 1.768, time/batch = 0.830
159/41256 (epoch 0), train_loss = 1.737, time/batch = 0.832
160/41256 (epoch 0), train_loss = 1.686, time/batch = 0.831
161/41256 (epoch 0), train_loss = 1.686, time/batch = 0.822
162/41256 (epoch 0), train_loss = 1.700, time/batch = 0.818
163/41256 (epoch 0), train_loss = 1.694, time/batch = 0.818
164/41256 (epoch 0), train_loss = 1.663, time/batch = 0.818
165/41256 (epoch 0), train_loss = 1.647, time/batch = 0.819
166/41256 (epoch 0), train_loss = 1.658, time/batch = 0.822
167/41256 (epoch 0), train_loss = 1.661, time/batch = 0.821
168/41256 (epoch 0), train_loss = 1.599, time/batch = 0.821
169/41256 (epoch 0), train_loss = 1.589, time/batch = 0.818
170/41256 (epoch 0), train_loss = 1.622, time/batch = 0.818
171/41256 (epoch 0), train_loss = 1.603, time/batch = 0.819
172/41256 (epoch 0), train_loss = 1.577, time/batch = 0.813
173/41256 (epoch 0), train_loss = 1.576, time/batch = 0.821
174/41256 (epoch 0), train_loss = 1.566, time/batch = 0.806
175/41256 (epoch 0), train_loss = 1.553, time/batch = 0.813
176/41256 (epoch 0), train_loss = 1.575, time/batch = 0.808
177/41256 (epoch 0), train_loss = 1.542, time/batch = 0.811
178/41256 (epoch 0), train_loss = 1.567, time/batch = 0.807
179/41256 (epoch 0), train_loss = 1.533, time/batch = 0.807
180/41256 (epoch 0), train_loss = 1.488, time/batch = 0.811
181/41256 (epoch 0), train_loss = 1.542, time/batch = 0.811
182/41256 (epoch 0), train_loss = 1.516, time/batch = 0.810
183/41256 (epoch 0), train_loss = 1.481, time/batch = 0.808
184/41256 (epoch 0), train_loss = 1.509, time/batch = 0.808
185/41256 (epoch 0), train_loss = 1.496, time/batch = 0.810
186/41256 (epoch 0), train_loss = 1.427, time/batch = 0.825
187/41256 (epoch 0), train_loss = 1.431, time/batch = 0.811
188/41256 (epoch 0), train_loss = 1.467, time/batch = 0.811
189/41256 (epoch 0), train_loss = 1.461, time/batch = 0.810
190/41256 (epoch 0), train_loss = 1.460, time/batch = 0.809
191/41256 (epoch 0), train_loss = 1.428, time/batch = 0.808
192/41256 (epoch 0), train_loss = 1.402, time/batch = 0.808
193/41256 (epoch 0), train_loss = 1.361, time/batch = 0.811
194/41256 (epoch 0), train_loss = 1.442, time/batch = 0.811
195/41256 (epoch 0), train_loss = 1.382, time/batch = 0.818
196/41256 (epoch 0), train_loss = 1.356, time/batch = 0.810
197/41256 (epoch 0), train_loss = 1.381, time/batch = 0.810
198/41256 (epoch 0), train_loss = 1.374, time/batch = 0.810
199/41256 (epoch 0), train_loss = 1.342, time/batch = 0.812
200/41256 (epoch 0), train_loss = 1.361, time/batch = 0.810
201/41256 (epoch 0), train_loss = 1.370, time/batch = 0.806
202/41256 (epoch 0), train_loss = 1.317, time/batch = 0.809
203/41256 (epoch 0), train_loss = 1.323, time/batch = 0.822
204/41256 (epoch 0), train_loss = 1.314, time/batch = 0.810
205/41256 (epoch 0), train_loss = 1.319, time/batch = 0.810
206/41256 (epoch 0), train_loss = 1.308, time/batch = 0.810
207/41256 (epoch 0), train_loss = 1.314, time/batch = 0.820
208/41256 (epoch 0), train_loss = 1.292, time/batch = 0.809
209/41256 (epoch 0), train_loss = 1.276, time/batch = 0.826
210/41256 (epoch 0), train_loss = 1.282, time/batch = 0.811
211/41256 (epoch 0), train_loss = 1.271, time/batch = 0.815
212/41256 (epoch 0), train_loss = 1.251, time/batch = 0.807
213/41256 (epoch 0), train_loss = 1.271, time/batch = 0.809
214/41256 (epoch 0), train_loss = 1.310, time/batch = 0.810
215/41256 (epoch 0), train_loss = 1.245, time/batch = 0.821
216/41256 (epoch 0), train_loss = 1.288, time/batch = 0.813
217/41256 (epoch 0), train_loss = 1.237, time/batch = 0.812
218/41256 (epoch 0), train_loss = 1.262, time/batch = 0.806
219/41256 (epoch 0), train_loss = 1.243, time/batch = 0.807
220/41256 (epoch 0), train_loss = 1.221, time/batch = 0.815
221/41256 (epoch 0), train_loss = 1.255, time/batch = 0.809
222/41256 (epoch 0), train_loss = 1.235, time/batch = 0.812
223/41256 (epoch 0), train_loss = 1.281, time/batch = 0.807
224/41256 (epoch 0), train_loss = 1.248, time/batch = 0.813
225/41256 (epoch 0), train_loss = 1.219, time/batch = 0.810
226/41256 (epoch 0), train_loss = 1.221, time/batch = 0.812
227/41256 (epoch 0), train_loss = 1.200, time/batch = 0.813
228/41256 (epoch 0), train_loss = 1.241, time/batch = 0.812
229/41256 (epoch 0), train_loss = 1.219, time/batch = 0.813
230/41256 (epoch 0), train_loss = 1.203, time/batch = 0.822
231/41256 (epoch 0), train_loss = 1.243, time/batch = 0.827
232/41256 (epoch 0), train_loss = 1.231, time/batch = 0.824
233/41256 (epoch 0), train_loss = 1.212, time/batch = 0.825
234/41256 (epoch 0), train_loss = 1.214, time/batch = 0.828
235/41256 (epoch 0), train_loss = 1.240, time/batch = 0.825
236/41256 (epoch 0), train_loss = 1.229, time/batch = 0.824
237/41256 (epoch 0), train_loss = 1.170, time/batch = 0.824
238/41256 (epoch 0), train_loss = 1.211, time/batch = 0.826
239/41256 (epoch 0), train_loss = 1.187, time/batch = 0.831
240/41256 (epoch 0), train_loss = 1.196, time/batch = 0.825
241/41256 (epoch 0), train_loss = 1.205, time/batch = 0.823
242/41256 (epoch 0), train_loss = 1.204, time/batch = 0.826
243/41256 (epoch 0), train_loss = 1.170, time/batch = 0.841
244/41256 (epoch 0), train_loss = 1.186, time/batch = 0.822
245/41256 (epoch 0), train_loss = 1.153, time/batch = 0.822
246/41256 (epoch 0), train_loss = 1.176, time/batch = 0.826
247/41256 (epoch 0), train_loss = 1.170, time/batch = 0.825
248/41256 (epoch 0), train_loss = 1.191, time/batch = 0.828
249/41256 (epoch 0), train_loss = 1.166, time/batch = 0.825
250/41256 (epoch 0), train_loss = 1.184, time/batch = 0.827
251/41256 (epoch 0), train_loss = 1.188, time/batch = 0.823
252/41256 (epoch 0), train_loss = 1.161, time/batch = 0.822
253/41256 (epoch 0), train_loss = 1.182, time/batch = 0.825
254/41256 (epoch 0), train_loss = 1.198, time/batch = 0.826
255/41256 (epoch 0), train_loss = 1.177, time/batch = 0.825
256/41256 (epoch 0), train_loss = 1.161, time/batch = 0.827
257/41256 (epoch 0), train_loss = 1.181, time/batch = 0.844
258/41256 (epoch 0), train_loss = 1.162, time/batch = 0.823
259/41256 (epoch 0), train_loss = 1.149, time/batch = 0.821
260/41256 (epoch 0), train_loss = 1.180, time/batch = 0.816
261/41256 (epoch 0), train_loss = 1.176, time/batch = 0.816
262/41256 (epoch 0), train_loss = 1.171, time/batch = 0.811
263/41256 (epoch 0), train_loss = 1.171, time/batch = 0.818
264/41256 (epoch 0), train_loss = 1.196, time/batch = 0.808
265/41256 (epoch 0), train_loss = 1.169, time/batch = 0.816
266/41256 (epoch 0), train_loss = 1.176, time/batch = 0.832
267/41256 (epoch 0), train_loss = 1.187, time/batch = 0.816
268/41256 (epoch 0), train_loss = 1.182, time/batch = 0.815
269/41256 (epoch 0), train_loss = 1.125, time/batch = 0.811
270/41256 (epoch 0), train_loss = 1.186, time/batch = 0.812
271/41256 (epoch 0), train_loss = 1.163, time/batch = 0.835
272/41256 (epoch 0), train_loss = 1.155, time/batch = 0.814
273/41256 (epoch 0), train_loss = 1.126, time/batch = 0.813
274/41256 (epoch 0), train_loss = 1.157, time/batch = 0.813
275/41256 (epoch 0), train_loss = 1.164, time/batch = 0.813
276/41256 (epoch 0), train_loss = 1.145, time/batch = 0.813
277/41256 (epoch 0), train_loss = 1.124, time/batch = 0.818
278/41256 (epoch 0), train_loss = 1.134, time/batch = 0.816
279/41256 (epoch 0), train_loss = 1.144, time/batch = 0.815
280/41256 (epoch 0), train_loss = 1.115, time/batch = 0.814
281/41256 (epoch 0), train_loss = 1.100, time/batch = 0.812
282/41256 (epoch 0), train_loss = 1.099, time/batch = 0.814
283/41256 (epoch 0), train_loss = 1.096, time/batch = 0.832
284/41256 (epoch 0), train_loss = 1.082, time/batch = 0.815
285/41256 (epoch 0), train_loss = 1.085, time/batch = 0.818
286/41256 (epoch 0), train_loss = 1.112, time/batch = 0.815
287/41256 (epoch 0), train_loss = 1.104, time/batch = 0.813
288/41256 (epoch 0), train_loss = 1.085, time/batch = 0.816
289/41256 (epoch 0), train_loss = 1.096, time/batch = 0.815
290/41256 (epoch 0), train_loss = 1.058, time/batch = 0.813
291/41256 (epoch 0), train_loss = 1.051, time/batch = 0.816
292/41256 (epoch 0), train_loss = 1.033, time/batch = 0.830
293/41256 (epoch 0), train_loss = 1.045, time/batch = 0.813
294/41256 (epoch 0), train_loss = 1.078, time/batch = 0.817
295/41256 (epoch 0), train_loss = 1.065, time/batch = 0.812
296/41256 (epoch 0), train_loss = 1.048, time/batch = 0.814
297/41256 (epoch 0), train_loss = 1.074, time/batch = 0.812
298/41256 (epoch 0), train_loss = 1.036, time/batch = 0.813
299/41256 (epoch 0), train_loss = 1.083, time/batch = 0.815
300/41256 (epoch 0), train_loss = 1.060, time/batch = 0.819
301/41256 (epoch 0), train_loss = 1.031, time/batch = 0.815
302/41256 (epoch 0), train_loss = 1.043, time/batch = 0.813
303/41256 (epoch 0), train_loss = 1.090, time/batch = 0.812
304/41256 (epoch 0), train_loss = 1.038, time/batch = 0.811
305/41256 (epoch 0), train_loss = 1.053, time/batch = 0.815
306/41256 (epoch 0), train_loss = 1.084, time/batch = 0.814
307/41256 (epoch 0), train_loss = 1.069, time/batch = 0.816
308/41256 (epoch 0), train_loss = 1.041, time/batch = 0.817
309/41256 (epoch 0), train_loss = 1.080, time/batch = 0.810
310/41256 (epoch 0), train_loss = 1.092, time/batch = 0.813
311/41256 (epoch 0), train_loss = 1.045, time/batch = 0.815
312/41256 (epoch 0), train_loss = 1.021, time/batch = 0.831
313/41256 (epoch 0), train_loss = 1.016, time/batch = 0.815
314/41256 (epoch 0), train_loss = 1.073, time/batch = 0.817
315/41256 (epoch 0), train_loss = 1.018, time/batch = 0.814
316/41256 (epoch 0), train_loss = 1.019, time/batch = 0.823
317/41256 (epoch 0), train_loss = 1.041, time/batch = 0.811
318/41256 (epoch 0), train_loss = 1.026, time/batch = 0.813
319/41256 (epoch 0), train_loss = 1.007, time/batch = 0.814
320/41256 (epoch 0), train_loss = 1.056, time/batch = 0.815
321/41256 (epoch 0), train_loss = 1.028, time/batch = 0.810
322/41256 (epoch 0), train_loss = 1.024, time/batch = 0.816
323/41256 (epoch 0), train_loss = 1.004, time/batch = 0.816
324/41256 (epoch 0), train_loss = 1.002, time/batch = 0.814
325/41256 (epoch 0), train_loss = 1.034, time/batch = 0.815
326/41256 (epoch 0), train_loss = 1.018, time/batch = 0.814
327/41256 (epoch 0), train_loss = 0.996, time/batch = 0.813
328/41256 (epoch 0), train_loss = 0.997, time/batch = 0.814
329/41256 (epoch 0), train_loss = 1.008, time/batch = 0.814
330/41256 (epoch 0), train_loss = 1.006, time/batch = 0.812
331/41256 (epoch 0), train_loss = 0.959, time/batch = 0.816
332/41256 (epoch 0), train_loss = 0.987, time/batch = 0.813
333/41256 (epoch 0), train_loss = 0.990, time/batch = 0.816
334/41256 (epoch 0), train_loss = 1.004, time/batch = 0.825
335/41256 (epoch 0), train_loss = 0.985, time/batch = 0.816
336/41256 (epoch 0), train_loss = 0.986, time/batch = 0.815
337/41256 (epoch 0), train_loss = 0.983, time/batch = 0.815
338/41256 (epoch 0), train_loss = 1.001, time/batch = 0.815
339/41256 (epoch 0), train_loss = 0.992, time/batch = 0.813
340/41256 (epoch 0), train_loss = 0.998, time/batch = 0.813
341/41256 (epoch 0), train_loss = 1.007, time/batch = 0.815
342/41256 (epoch 0), train_loss = 0.986, time/batch = 0.821
343/41256 (epoch 0), train_loss = 0.983, time/batch = 0.815
344/41256 (epoch 0), train_loss = 1.023, time/batch = 0.811
345/41256 (epoch 0), train_loss = 1.001, time/batch = 0.809
346/41256 (epoch 0), train_loss = 1.002, time/batch = 0.813
347/41256 (epoch 0), train_loss = 1.017, time/batch = 0.830
348/41256 (epoch 0), train_loss = 1.001, time/batch = 0.815
349/41256 (epoch 0), train_loss = 1.026, time/batch = 0.817
350/41256 (epoch 0), train_loss = 1.021, time/batch = 0.820
351/41256 (epoch 0), train_loss = 1.017, time/batch = 0.818
352/41256 (epoch 0), train_loss = 0.998, time/batch = 0.810
353/41256 (epoch 0), train_loss = 1.023, time/batch = 0.821
354/41256 (epoch 0), train_loss = 1.032, time/batch = 0.813
355/41256 (epoch 0), train_loss = 1.024, time/batch = 0.817
356/41256 (epoch 0), train_loss = 1.022, time/batch = 0.816
357/41256 (epoch 0), train_loss = 1.025, time/batch = 0.812
358/41256 (epoch 0), train_loss = 1.028, time/batch = 0.814
359/41256 (epoch 0), train_loss = 1.052, time/batch = 0.814
360/41256 (epoch 0), train_loss = 1.157, time/batch = 0.827
361/41256 (epoch 0), train_loss = 1.106, time/batch = 0.817
362/41256 (epoch 0), train_loss = 1.096, time/batch = 0.816
363/41256 (epoch 0), train_loss = 1.167, time/batch = 0.816
364/41256 (epoch 0), train_loss = 1.115, time/batch = 0.816
365/41256 (epoch 0), train_loss = 1.106, time/batch = 0.808
366/41256 (epoch 0), train_loss = 1.115, time/batch = 0.812
367/41256 (epoch 0), train_loss = 1.143, time/batch = 0.824
368/41256 (epoch 0), train_loss = 1.114, time/batch = 0.818
369/41256 (epoch 0), train_loss = 1.088, time/batch = 0.816
370/41256 (epoch 0), train_loss = 1.106, time/batch = 0.818
371/41256 (epoch 0), train_loss = 1.076, time/batch = 0.810
372/41256 (epoch 0), train_loss = 1.122, time/batch = 0.811
373/41256 (epoch 0), train_loss = 1.067, time/batch = 0.819
374/41256 (epoch 0), train_loss = 1.090, time/batch = 0.813
375/41256 (epoch 0), train_loss = 1.071, time/batch = 0.815
376/41256 (epoch 0), train_loss = 1.076, time/batch = 0.817
377/41256 (epoch 0), train_loss = 1.062, time/batch = 0.808
378/41256 (epoch 0), train_loss = 1.075, time/batch = 0.812
379/41256 (epoch 0), train_loss = 1.079, time/batch = 0.815
380/41256 (epoch 0), train_loss = 1.024, time/batch = 0.815
381/41256 (epoch 0), train_loss = 1.033, time/batch = 0.814
382/41256 (epoch 0), train_loss = 1.065, time/batch = 0.818
383/41256 (epoch 0), train_loss = 1.038, time/batch = 0.810
384/41256 (epoch 0), train_loss = 1.041, time/batch = 0.814
385/41256 (epoch 0), train_loss = 1.046, time/batch = 0.817
386/41256 (epoch 0), train_loss = 1.030, time/batch = 0.839
387/41256 (epoch 0), train_loss = 1.033, time/batch = 0.837
388/41256 (epoch 0), train_loss = 1.053, time/batch = 0.840
389/41256 (epoch 0), train_loss = 1.035, time/batch = 0.839
390/41256 (epoch 0), train_loss = 1.027, time/batch = 0.833
391/41256 (epoch 0), train_loss = 1.048, time/batch = 0.837
392/41256 (epoch 0), train_loss = 1.023, time/batch = 0.837
393/41256 (epoch 0), train_loss = 1.029, time/batch = 0.837
394/41256 (epoch 0), train_loss = 1.011, time/batch = 0.841
395/41256 (epoch 0), train_loss = 1.034, time/batch = 0.840
396/41256 (epoch 0), train_loss = 1.005, time/batch = 0.835
397/41256 (epoch 0), train_loss = 1.058, time/batch = 0.839
398/41256 (epoch 0), train_loss = 1.021, time/batch = 0.837
399/41256 (epoch 0), train_loss = 1.002, time/batch = 0.841
400/41256 (epoch 0), train_loss = 1.034, time/batch = 0.842
401/41256 (epoch 0), train_loss = 1.036, time/batch = 0.839
402/41256 (epoch 0), train_loss = 1.041, time/batch = 0.839
403/41256 (epoch 0), train_loss = 1.011, time/batch = 0.837
404/41256 (epoch 0), train_loss = 0.989, time/batch = 0.835
405/41256 (epoch 0), train_loss = 0.990, time/batch = 0.839
406/41256 (epoch 0), train_loss = 1.016, time/batch = 0.839
407/41256 (epoch 0), train_loss = 0.994, time/batch = 0.837
408/41256 (epoch 0), train_loss = 1.008, time/batch = 0.839
409/41256 (epoch 0), train_loss = 0.975, time/batch = 0.826
410/41256 (epoch 0), train_loss = 0.983, time/batch = 0.825
411/41256 (epoch 0), train_loss = 0.962, time/batch = 0.819
412/41256 (epoch 0), train_loss = 0.965, time/batch = 0.822
413/41256 (epoch 0), train_loss = 0.975, time/batch = 0.822
414/41256 (epoch 0), train_loss = 0.956, time/batch = 0.822
415/41256 (epoch 0), train_loss = 0.951, time/batch = 0.823
416/41256 (epoch 0), train_loss = 0.954, time/batch = 0.822
417/41256 (epoch 0), train_loss = 0.956, time/batch = 0.825
418/41256 (epoch 0), train_loss = 0.933, time/batch = 0.820
419/41256 (epoch 0), train_loss = 0.925, time/batch = 0.823
420/41256 (epoch 0), train_loss = 0.947, time/batch = 0.823
421/41256 (epoch 0), train_loss = 0.930, time/batch = 0.821
422/41256 (epoch 0), train_loss = 0.910, time/batch = 0.822
423/41256 (epoch 0), train_loss = 0.930, time/batch = 0.823
424/41256 (epoch 0), train_loss = 0.926, time/batch = 0.822
425/41256 (epoch 0), train_loss = 0.913, time/batch = 0.821
426/41256 (epoch 0), train_loss = 0.924, time/batch = 0.823
427/41256 (epoch 0), train_loss = 0.912, time/batch = 0.824
428/41256 (epoch 0), train_loss = 0.913, time/batch = 0.823
429/41256 (epoch 0), train_loss = 0.935, time/batch = 0.824
430/41256 (epoch 0), train_loss = 0.937, time/batch = 0.821
431/41256 (epoch 0), train_loss = 0.916, time/batch = 0.822
432/41256 (epoch 0), train_loss = 0.931, time/batch = 0.824
433/41256 (epoch 0), train_loss = 0.971, time/batch = 0.819
434/41256 (epoch 0), train_loss = 0.954, time/batch = 0.824
435/41256 (epoch 0), train_loss = 0.924, time/batch = 0.823
